codIBGE,municipio,ano,UF,expecvida,AmpT,Tmax,Tmin,homicidios,mortinf,acidtrans,renda_pc,indgini,razao_renda,IDHM,lnexpecvida,lnAmpT,lnTmax,lnTmin,lnrenda_pc,d1990,d2000,d2010,regiao
1100205,Porto Velho,1990,RO,62.99,14.2,33,18.8,0,43.88,30.95,486.43,0.58,19.77,754,4.14297598363384,2.65324196460721,3.49650756146648,2.9338568698359,6.18709300638155,1,0,0,Norte
1100205,Porto Velho,2000,RO,64.81,15.5,33.5,18,59.4,27.5,37.16,613.61,0.61,24.2,613,4.17145991243962,2.7408400239252,3.51154543883102,2.89037175789616,6.41935954718231,0,1,0,Norte
1100205,Porto Velho,2010,RO,74.14,NA,NA,NA,46.3,15.52,40.36,929.19,0.56,17.42,736,4.30595519772259,NA,NA,NA,6.83431323889258,0,0,1,Norte
1200203,Cruzeiro do Sul,1990,AC,64.6,13.6,32.3,18.7,4.5,39.43,1.5,194.63,0.57,19.87,477,4.16821441078856,2.61006979274201,3.47506723022861,2.92852352386054,5.27110032025448,1,0,0,Norte
1200203,Cruzeiro do Sul,2000,AC,67.44,15.2,33.9,18.7,0,26,16.72,266.84,0.62,27.22,0.51,4.2112383136936,2.72129542785223,3.5234150143864,2.92852352386054,5.58664922784131,0,1,0,Norte
1200203,Cruzeiro do Sul,2010,AC,73.5,14.8,34.4,19.6,20.76,23.38,15.87,450.06,0.64,30.86,664,4.29728540621879,2.69462718077007,3.53805656437935,2.97552956623647,6.1093809072096,0,0,1,Norte
1200401,Rio Branco,1990,AC,64.18,NA,32.5,NA,0,33.21,26.35,437.12,0.6,22.84,722,4.16169163568171,NA,3.48124008933569,NA,6.08020775694237,1,0,0,Norte
1200401,Rio Branco,2000,AC,67.56,13.6,32.7,19.1,34.22,25.45,26.77,527.43,0.61,25.16,591,4.2130160919396,2.61006979274201,3.48737507790321,2.94968833505258,6.26801615512281,0,1,0,Norte
1200401,Rio Branco,2010,AC,73.62,17.6,34.6,17,28.24,20.03,25.1,744.67,0.59,21.91,727,4.29891672795087,2.86789890204411,3.54385368206368,2.83321334405622,6.61294116722676,0,0,1,Norte
1200609,Tarauacá,1990,AC,64.24,NA,NA,NA,3.61,48.24,NA,131.44,0.57,18.69,383,4.16262606963851,NA,NA,NA,4.87855047372901,1,0,0,Norte
1200609,Tarauacá,2000,AC,67.62,12.6,33.3,20.7,0,40.18,NA,166.6,0.67,42.33,386,4.21390379727974,2.53369681395743,3.5055573969864,3.03013370027132,5.11559572973274,0,1,0,Norte
1200609,Tarauacá,2010,AC,73.68,15.9,34.3,18.4,5.39,33.7,14.48,251.53,0.65,40.33,539,4.29973139194705,2.76631910922619,3.53514535417189,2.91235066461494,5.52756226672022,0,0,1,Norte
1300409,Barcelos,1990,AM,61.87,14.1,34.1,20,0,55.64,NA,200.7,0.43,8.77,492,4.1250354095429,2.64617479738412,3.52929738428947,2.99573227355399,5.30181125580229,1,0,0,Norte
1300409,Barcelos,2000,AM,70.77,11.5,33.7,22.2,4.04,41.29,NA,217.27,0.64,94.79,384,4.25943518208769,2.4423470353692,3.51749783735832,3.10009228887823,5.38114081974715,0,1,0,Norte
1300409,Barcelos,2010,AM,68.69,11,34.2,23.2,11.44,29.5,14.52,237.29,0.74,147.46,0.5,4.22960362822579,2.39789527279837,3.53222564406856,3.14415227867226,5.46928302180367,0,0,1,Norte
1300607,Benjamin Constant,1990,AM,63.41,10.9,31.6,20.7,10.92,53.88,NA,98.76,0.73,45.4,537,4.14962157771194,2.3887627892351,3.45315712059287,3.03013370027132,4.59269266447698,1,0,0,Norte
1300607,Benjamin Constant,2000,AM,65.71,13.6,34.3,20.7,12.63,44.48,35.4,141.53,0.61,29.38,389,4.18525112090978,2.61006979274201,3.53514535417189,3.03013370027132,4.95251170874575,0,1,0,Norte
1300607,Benjamin Constant,2010,AM,70.78,14,34.5,20.5,8.8,23.2,11.73,211.1,0.56,19.88,574,4.25957647491732,2.63905732961526,3.54095932403731,3.02042488614436,5.35233195485428,0,0,1,Norte
1301209,Coari,1990,AM,60.4,14.2,33.3,19.1,2.58,53.88,NA,146.23,0.54,15.78,438,4.10098910494077,2.65324196460721,3.5055573969864,2.94968833505258,4.98518072462379,1,0,0,Norte
1301209,Coari,2000,AM,67.16,11,33.6,22.6,14.57,39.16,10.6,159.29,0.57,20.25,389,4.20707783220934,2.39789527279837,3.51452606696916,3.11794990627824,5.07072644030655,0,1,0,Norte
1301209,Coari,2010,AM,71.79,11.1,34.9,23.8,21.94,19.58,9.99,347.2,0.64,31.8,586,4.27374519058839,2.40694510831829,3.55248682920838,3.16968558067743,5.8499009827862,0,0,1,Norte
1301308,Codajás,1990,AM,58.79,11.7,33.4,21.7,0,68.95,NA,229.61,0.7,66.68,472,4.07397177241416,2.45958884180371,3.50855589998265,3.07731226054641,5.43638221750393,1,0,0,Norte
1301308,Codajás,2000,AM,61.87,13.5,33.5,20,5.58,48.5,31.15,234.31,0.59,21.66,0.44,4.1250354095429,2.60268968544438,3.51154543883102,2.99573227355399,5.45664502492734,0,1,0,Norte
1301308,Codajás,2010,AM,71.49,12.8,34,21.2,21.13,21.4,35.7,239.64,0.61,26.24,563,4.26955757977876,2.54944517092557,3.52636052461616,3.05400118167797,5.47913779721572,0,0,1,Norte
1301407,Eirunepé,1990,AM,60.91,12.7,33.7,21,4.9,59.59,NA,104.7,0.58,20.97,385,4.10939736484839,2.54160199346455,3.51749783735832,3.04452243772342,4.65109911787649,1,0,0,Norte
1301407,Eirunepé,2000,AM,62.23,14.5,33.6,19.1,0,51.85,NA,138.2,0.64,36.82,409,4.13083719858113,2.67414864942653,3.51452606696916,2.94968833505258,4.92870191133357,0,1,0,Norte
